triad_id,day_A,day_B,day_C,side_AB,side_BC,side_CA,metric_triangle_area,triadic_imbalance,orientation_score,dominant_carrier,rank,classification
T1160,2004,2010,2020,1.4492146732753048,3.8706022300893483,5.142080169089941,1.546443458969176,3.548183898434148,1.0,Solar,1506,LARGE_TRIADIC_STRUCTURE
T1158,2004,2010,2018,1.4492146732753048,3.3763669251033437,4.591832399633234,1.5459428249660738,3.16849703795466,1.0,Solar,1507,LARGE_TRIADIC_STRUCTURE
T1170,2004,2011,2016,1.7854780106890713,3.1009752340680814,4.6895472940969505,1.5452380276053916,2.626494006659376,1.0,Solar,1508,LARGE_TRIADIC_STRUCTURE
T889,2003,2006,2025,1.0421795173806072,4.738034984769203,5.591143766264122,1.5379197806235785,5.364856699848399,1.0,Solar,1509,LARGE_TRIADIC_STRUCTURE
T1176,2004,2011,2022,1.7854780106890713,3.3754093072761435,4.99510918507081,1.536080687183524,2.7976313094682372,1.0,Solar,1510,LARGE_TRIADIC_STRUCTURE
T2054,2010,2011,2025,0.8378426019884997,3.6913922267957644,3.8817478690945872,1.5353087040227062,4.633027563747431,1.0,Solar,1511,LARGE_TRIADIC_STRUCTURE
T1448,2005,2020,2023,4.926831951177891,0.6440632683604465,4.802326695999761,1.5336275775829555,7.6496086536961405,1.0,Solar,1512,LARGE_TRIADIC_STRUCTURE
T1535,2006,2011,2020,1.3558080873933933,3.5653341034908967,4.692994132043462,1.5329806444518526,3.4614000135269665,1.0,Solar,1513,LARGE_TRIADIC_STRUCTURE
T1143,2004,2009,2018,1.2866105406822144,3.55523661401275,4.591832399633234,1.5327942036495188,3.5689373391877033,1.0,Solar,1514,LARGE_TRIADIC_STRUCTURE
T2203,2011,2017,2020,3.091392993223397,1.0424597425921913,3.5653341034908967,1.5261188074505223,3.420116823528647,-1.0,Solar,1515,LARGE_TRIADIC_STRUCTURE
T559,2001,2019,2023,5.945315795131788,0.6221557527655895,6.3198548760114335,1.521336183696616,10.157994759220001,1.0,Solar,1516,LARGE_TRIADIC_STRUCTURE
T273,2000,2018,2019,6.563419843754589,0.4679858258773958,6.648397217603109,1.5190855337167763,14.206407224275365,1.0,Solar,1517,LARGE_TRIADIC_STRUCTURE
T1768,2007,2019,2024,4.086554815976069,0.8551861091028136,4.571150933787926,1.5176711304933423,5.345211861057447,1.0,Solar,1518,LARGE_TRIADIC_STRUCTURE
T596,2002,2003,2023,0.7576012954323174,5.395103506186263,5.929616977670892,1.5166381951500723,7.826830568296768,1.0,Solar,1519,LARGE_TRIADIC_STRUCTURE
T1327,2005,2009,2012,1.0392933851517998,2.977842574239435,3.3438883652067917,1.5163669236142343,3.2174633390150764,-1.0,Nuclear,1520,LARGE_TRIADIC_STRUCTURE
T1876,2008,2016,2017,3.9671868404063364,0.767881969213521,3.9570137195954245,1.5139206614589198,5.166401868336097,-1.0,Solar,1521,LARGE_TRIADIC_STRUCTURE
T1948,2009,2011,2024,0.8924868419488466,3.6331376776537128,4.041742083854276,1.5120946053093463,4.5286293241351006,1.0,Solar,1522,LARGE_TRIADIC_STRUCTURE
T1245,2004,2018,2021,4.591832399633234,0.7571736668727787,5.010246177141358,1.5101645021109313,6.6170370105900504,1.0,Solar,1523,LARGE_TRIADIC_STRUCTURE
T017,2000,2001,2018,0.8478459611375836,5.869331620129411,6.563419843754589,1.5098940403523509,7.7412880931203905,1.0,Solar,1524,LARGE_TRIADIC_STRUCTURE
