Z,N,A,x_proton,x_neutron,B_total_MeV,B_per_A_MeV,B_volume,B_surface,B_coulomb,B_asymmetry,B_pairing,is_stable,is_magic_Z,is_magic_N,is_doubly_magic,N_over_Z,parity
29,36,65,0.4461538461538462,0.5538461538461539,574.5358497641081,8.839013073293971,1023.75,-287.75899413891165,-143.5890022508264,-17.866153846153846,0.0,True,False,False,False,1.2413793103448276,eo
30,38,68,0.4411764705882353,0.5588235294117647,601.9547063009774,8.852275092661431,1071.0,-296.5463690039409,-151.5488164860936,-22.305882352941175,1.3557741439531013,True,False,False,False,1.2666666666666666,ee
31,38,69,0.4492753623188406,0.5507246376811594,609.258921847673,8.829839447067725,1086.75,-299.4466067473724,-161.21403662234582,-16.830434782608695,0.0,True,False,False,False,1.2258064516129032,eo
32,40,72,0.4444444444444444,0.5555555555555556,636.6470792625053,8.842320545312573,1134.0,-308.0645082176624,-169.53932148877647,-21.066666666666666,1.3175756356109336,True,False,False,False,1.25,ee
33,42,75,0.44,0.56,661.052335680117,8.81403114240156,1181.25,-316.56350409961556,-178.0381602202674,-25.596,0.0,True,False,False,False,1.2727272727272727,eo
34,42,76,0.4473684210526316,0.5526315789473685,670.6211476026226,8.82396246845556,1197.0,-319.3711855773534,-188.33220603551825,-19.957894736842103,1.28243395233644,True,False,False,False,1.2352941176470589,ee
35,44,79,0.4430379746835443,0.5569620253164557,695.0435071335285,8.798019077639601,1244.25,-327.72134594960346,-197.18514691686818,-24.3,0.0,True,False,False,False,1.2571428571428571,eo
36,46,82,0.43902439024390244,0.5609756097560976,721.6593144706206,8.800723347202691,1291.5,-335.9664449673151,-206.20642599919088,-28.902439024390244,1.2346244615167843,True,False,False,False,1.2777777777777777,ee
37,48,85,0.43529411764705883,0.5647058823529412,745.5064854344905,8.770664534523418,1338.75,-344.11157875427665,-215.3942887524093,-33.737647058823526,0.0,True,False,False,False,1.2972972972972974,eo
38,48,86,0.4418604651162791,0.5581395348837209,754.8662448420488,8.777514474907544,1354.5,-346.8052285906506,-226.47595743683132,-27.558139534883722,1.2055704044144415,True,False,False,False,1.263157894736842,ee
