L_km,P_nue,P_numu,P_nutau
L1201.90,1.4962230504e-02,9.5103147608e-01,3.4006293412e-02
L1205.90,1.4563367452e-02,9.5787548327e-01,2.7561149278e-02
L1209.91,1.4241696699e-02,9.6395598074e-01,2.1802322566e-02
L1213.91,1.3998295165e-02,9.6926303659e-01,1.6738668245e-02
L1217.91,1.3834111191e-02,9.7378799647e-01,1.2377892336e-02
L1221.92,1.3749962516e-02,9.7752349755e-01,8.7265399377e-03
L1225.92,1.3746534471e-02,9.8046348035e-01,5.7899851791e-03
L1229.92,1.3824378383e-02,9.8260319851e-01,3.5724231021e-03
L1233.92,1.3983910214e-02,9.8393922630e-01,2.0768634908e-03
L1237.93,1.4225409419e-02,9.8446946392e-01,1.3051266566e-03
L1241.93,1.4549018036e-02,9.8419314078e-01,1.2578411847e-03
L1245.93,1.4954740005e-02,9.8311081635e-01,1.9344436430e-03
L1249.94,1.5442440725e-02,9.8122437902e-01,3.3331802548e-03
L1253.94,1.6011846838e-02,9.7853704263e-01,5.4511105297e-03
L1257.94,1.6662546254e-02,9.7505334090e-01,8.2841128456e-03
L1261.95,1.7393988413e-02,9.7077911961e-01,1.1826891972e-02
L1265.95,1.8205484780e-02,9.6572152670e-01,1.6072988523e-02
L1269.95,1.9096209579e-02,9.5988900011e-01,2.1014790313e-02
L1273.95,2.0065200762e-02,9.5329125362e-01,2.6643545614e-02
L1277.96,2.1111361213e-02,9.4593926051e-01,3.2949378275e-02
L1281.96,2.2233460187e-02,9.3784523514e-01,3.9921304677e-02
L1285.96,2.3430134978e-02,9.2902261251e-01,4.7547252513e-02
L1289.97,2.4699892820e-02,9.1948602584e-01,5.5814081338e-02
L1293.97,2.6041113014e-02,9.0925128212e-01,6.4707604867e-02
L1297.97,2.7452049281e-02,8.9833533574e-01,7.4212614983e-02
L1301.98,2.8930832327e-02,8.8675626026e-01,8.4312907408e-02
L1305.98,3.0475472642e-02,8.7453321836e-01,9.4991309001e-02
L1309.98,3.2083863497e-02,8.6168642988e-01,1.0622970663e-01
L1313.98,3.3753784153e-02,8.4823713828e-01,1.1800907756e-01
L1317.99,3.5482903283e-02,8.3420757534e-01,1.3030952138e-01
L1321.99,3.7268782577e-02,8.1962092419e-01,1.4311029324e-01
L1325.99,3.9108880555e-02,8.0450128089e-01,1.5638983856e-01
L1330.00,4.1000556558e-02,7.8887361442e-01,1.7012582903e-01
L1334.00,4.2941074920e-02,7.7276372528e-01,1.8429519980e-01
L1338.00,4.4927609320e-02,7.5619820275e-01,1.9887418793e-01
L1342.01,4.6957247296e-02,7.3920438077e-01,2.1383837193e-01
L1346.01,4.9026994920e-02,7.2181029272e-01,2.2916271236e-01
L1350.01,5.1133781628e-02,7.0404462496e-01,2.4482159341e-01
L1354.02,5.3274465191e-02,6.8593666936e-01,2.6078886545e-01
L1358.02,5.5445836828e-02,6.6751627481e-01,2.7703788836e-01
L1362.02,5.7644626441e-02,6.4881379787e-01,2.9354157569e-01
L1366.02,5.9867507974e-02,6.2986005250e-01,3.1027243952e-01
L1370.03,6.2111104885e-02,6.1068625919e-01,3.2720263593e-01
L1374.03,6.4371995713e-02,5.9132399327e-01,3.4430401102e-01
L1378.03,6.6646719747e-02,5.7180513279e-01,3.6154814746e-01
L1382.04,6.8931782767e-02,5.5216180582e-01,3.7890641141e-01
L1386.04,7.1223662874e-02,5.3242633740e-01,3.9634999972e-01
L1390.04,7.3518816370e-02,5.1263119615e-01,4.1384998749e-01
L1394.05,7.5813683698e-02,4.9280894065e-01,4.3137737565e-01
L1398.05,7.8104695431e-02,4.7299216576e-01,4.4890313881e-01
L1402.05,8.0388278288e-02,4.5321344877e-01,4.6639827294e-01
L1406.05,8.2660861177e-02,4.3350529573e-01,4.8383384309e-01
L1410.06,8.4918881253e-02,4.1390008777e-01,5.0118103098e-01
L1414.06,8.7158789979e-02,3.9443002775e-01,5.1841118227e-01
L1418.06,8.9377059179e-02,3.7512708721e-01,5.3549585361e-01
L1422.07,9.1570187078e-02,3.5602295362e-01,5.5240685930e-01
L1426.07,9.3734704307e-02,3.3714897823e-01,5.6911631747e-01
L1430.07,9.5867179881e-02,3.1853612440e-01,5.8559669572e-01
L1434.08,9.7964227117e-02,3.0021491666e-01,6.0182085622e-01
