SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
47.25532116,1.509981311,14.37015771,10.40439752,12.07985049,9.22203351,0.192547952,1.043812584,3.253046985,0.668850782
46.93003056,1.51321674,14.26892295,10.34444713,12.33931771,8.967586451,0.203116341,1.594463276,3.036589296,0.802309547
46.78170772,1.522181379,14.22732196,10.08981986,12.28907767,8.869243503,0.192809641,1.572920759,3.663383186,0.791534317
47.10674697,1.55029733,14.54037038,10.27527545,12.63542987,8.876212163,0.202653246,0.952470255,3.029666024,0.830878308
49.79674283,3.242294066,13.18329002,15.11918836,9.227283427,4.261883395,0.295680905,0.825867357,3.007788521,1.039981116
50.22578329,3.872121294,12.5513643,15.18936431,8.709732149,4.420925887,0.264239248,0.802880793,3.201360125,0.762228601
47.04200139,3.527133639,12.51268447,17.52402781,9.747899597,5.448252538,0.284610207,0.589549715,2.815608121,0.508232513
47.5619655,1.823038935,15.68424558,10.53869273,13.12791724,8.361536119,0.173137776,0.234245226,2.260975662,0.234245226
47.27097325,4.558199746,12.00597254,16.40587252,10.37804406,5.066927396,0.264538378,0.702044157,2.686081993,0.661345945
47.62276333,2.037337469,14.62808303,12.19075509,10.94050221,9.483805918,0.203733747,0.30560062,2.30219134,0.285227246
