Year,Gold,Silver
1976,0.9663978495,0.0336021505
1976,0.9663978495,0.0336021505
1976,0.9663978495,0.0336021505
1976,0.9663978495,0.0336021505
1976,0.9663978495,0.0336021505
1976,0.9663978495,0.0336021505
1976,0.9663978495,0.0336021505
1976,0.9663978495,0.0336021505
1976,0.9663978495,0.0336021505
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1977,0.9697428139,0.0302571861
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1978,0.9728260870,0.0271739130
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1979,0.9651446497,0.0348553503
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1980,0.9673842140,0.0326157860
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1981,0.9776035834,0.0223964166
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1982,0.9792703151,0.0207296849
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1983,0.9737049698,0.0262950302
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1984,0.9779054353,0.0220945647
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1985,0.9810174639,0.0189825361
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1986,0.9853479853,0.0146520147
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1987,0.9845774213,0.0154225787
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1988,0.9852832965,0.0147167035
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1989,0.9858135906,0.0141864094
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1990,0.9876206982,0.0123793018
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1991,0.9889904217,0.0110095783
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1992,0.9886967334,0.0113032666
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1993,0.9882144962,0.0117855038
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1994,0.9864480282,0.0135519718
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1995,0.9868039060,0.0131960940
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1996,0.9868230333,0.0131769667
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1997,0.9854883181,0.0145116819
1998,0.9815634218,0.0184365782
1998,0.9815634218,0.0184365782
1998,0.9815634218,0.0184365782
1998,0.9815634218,0.0184365782
1998,0.9815634218,0.0184365782
1998,0.9815634218,0.0184365782
1998,0.9815634218,0.0184365782
